channel,laser,autolevel,t_ms,tp,tp_err,tp_rms_err,pd_flux_ph_s,pd_flux_err_ph_s,laser_flux_ph_s,laser_flux_err_ph_s,pd_route_tx,laser_route_tx,atten_tx,pd_raw,pd_mv,pd_net_mv,pd_mean_net_mv,pd_mean_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,False,1789176894561,0.0,nan,0.16603740491886446,0.0,124615.39725501259,750526.0475246944,0.0,1.0,1.0,3.328760294385041e-12,-29,-1.8125,-0.11375000000000002,-0.06875000000000002,0.4478824483053561,250.0,114.77717477469952,1028.01,369,0,()
yj_m,,False,1789176895625,0.0,nan,0.05446009923426628,0.0,123466.12578749054,2267093.294420692,0.0,1.0,1.0,1.0055094246260482e-11,-31,-1.9375,-0.23875000000000002,-0.2612499999999997,0.44375183098213805,250.0,109.97613854411938,1028.01,369,0,()
yj_m,,False,1789176895733,0.0,nan,0.01830868349532834,0.0,123846.12996717339,6764338.353370633,0.0,1.0,1.0,3.0001438328155005e-11,-17,-1.0625,0.63625,-0.2512499999999997,0.44511761086256746,250.0,105.22857923846772,1028.01,369,0,()
yj_m,,False,1789176895842,0.0,nan,0.006149677169648701,0.0,123869.88058112595,20142501.3320174,0.0,1.0,1.0,8.933675104915157e-11,-25,-1.5625,0.13624999999999998,-0.2662499999999997,0.44520297337282017,250.0,100.48969845764812,1028.01,369,0,()
yj_m,,False,1789176895950,0.0,nan,0.002048972421809131,0.0,124359.65917957053,60693671.54769595,0.0,1.0,1.0,2.6919076910754367e-10,-28,-1.75,-0.05125000000000002,-0.21874999999999972,0.4469632954729057,250.0,95.6993983670063,1028.01,370,0,()
yj_m,,False,1789176896058,0.0,nan,0.0006826437039174388,0.0,124837.90504669756,182874176.2800992,0.0,1.0,1.0,8.110901665268793e-10,-42,-2.625,-0.92625,-0.07375000000000002,0.44868216757522245,250.0,90.90930863854923,1028.01,370,0,()
yj_m,,False,1789176896167,0.0,nan,0.0002254784799593029,0.0,124570.19549035623,552470442.0255103,0.0,1.0,1.0,2.4503369034308725e-09,-24,-1.5,0.19874999999999998,-0.02875000000000002,0.4477199878272133,250.0,86.10774199210219,1028.01,370,0,()
yj_m,,False,1789176896275,0.0,nan,7.519570690224112e-05,0.0,124487.20522838377,1655509474.632967,0.0,1.0,1.0,7.34257554992472e-09,-37,-2.3125,-0.61375,-0.09625000000000002,0.44742171102886813,250.0,81.34151576198201,1028.01,370,0,()
yj_m,,False,1789176896384,0.0,nan,2.484380364160939e-05,0.0,123965.30589003378,4989787702.331206,0.0,1.0,1.0,2.2130887043443183e-08,-29,-1.8125,-0.11375000000000002,-0.09625000000000002,0.4455459431977807,250.0,76.55001178465332,1028.01,370,0,()
yj_m,,False,1789176896492,0.0,nan,8.319962157776327e-06,0.0,124155.4688404119,14922600185.671383,0.0,1.0,1.0,6.618525652890326e-08,-25,-1.5625,0.13624999999999998,-0.09875000000000002,0.4462294112897535,250.0,71.7923874350981,1028.01,370,0,()
yj_m,,False,1789176896600,0.0,nan,2.7630892073157936e-06,0.0,123617.29697834823,44738800560.99832,0.0,1.0,1.0,1.9842714775460523e-07,-27,-1.6875,0.011249999999999982,-0.11625000000000002,0.4442951580875038,250.0,67.0239891023903,1028.01,370,1,()
yj_m,,False,1789176896708,0.0,nan,9.246461675337114e-07,0.0,124176.66666601854,134296416322.39958,0.0,1.0,1.0,5.956363270889648e-07,-27,-1.6875,0.011249999999999982,-0.07125000000000002,0.44630559877734005,250.0,62.25018823053554,1028.01,370,1,()
yj_m,,False,1789176896816,1.4749564253045908e-06,8.402913214442249e-07,8.40291321444225e-07,598547.3964411207,340995.96033736755,405806833457.81934,0.0,1.0,1.0,1.799849157613768e-06,362,22.625,24.32375,2.151249999999999,1.225579735268171,250.0,57.44763890875052,1028.01,370,1,()
yj_m,,False,1789176896924,2.342564691772065e-06,7.754503725934259e-07,7.754503725934259e-07,2872401.4800739195,950840.2503395873,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,844,52.75,54.44875,10.323749999999997,3.417432104299952,250.0,52.645296980749606,1028.01,371,1,()
yj_m,,False,1789176897032,2.5517226945036323e-06,7.043641417840103e-07,7.043641417840103e-07,9488071.773567824,2619037.541332131,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,1995,124.6875,126.38625,34.101250000000014,9.413130095111828,250.0,47.82738761665105,1028.01,371,1,()
yj_m,,False,1789176897140,2.8293640413632673e-06,7.562134303725741e-07,7.56213430372574e-07,31663192.05078216,8462725.448977798,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,8276,517.25,518.94875,113.80125000000002,30.416034269567422,250.0,43.04217381424828,1028.01,371,1,()
yj_m,,False,1789176897248,2.3791318701521724e-06,5.669855308078371e-07,5.669855308078371e-07,80609135.8571416,19210458.342100717,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,17854,1115.875,1117.57375,289.71874999999983,69.04465503344557,250.0,38.231174960409206,1028.01,371,1,()
yj_m,,False,1789176897355,5.947968250637675e-06,1.1727750155783294e-06,1.1727750155783294e-06,201527534.81418002,39735662.30045426,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,724.3137499999998,142.81466101450332,250.0,38.231174960409206,1028.01,371,1,()
yj_m,,False,1789176897462,9.203994083777617e-06,1.29050811353601e-06,1.29050811353601e-06,311847367.031447,43724664.930874154,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1120.8162499999996,157.1516073611323,250.0,38.231174960409206,1028.01,371,1,()
yj_m,,False,1789176897568,1.2349652423150433e-05,1.099999139837474e-06,1.099999139837474e-06,418427756.1304485,37269888.74316848,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1503.87875,133.952379770527,250.0,38.231174960409206,1028.01,371,2,()
yj_m,,False,1789176897674,4.672585584229042e-05,1.770812283497952e-06,1.770812283497952e-06,522905404.0563629,19817021.98747951,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1879.3837500000009,71.22471637842793,250.0,43.04217381424828,1028.01,371,2,()
yj_m,,False,1789176897782,0.00014741335959277436,3.2047181085519504e-06,3.2047181085519504e-06,548127168.8384143,11916104.948820936,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,21381,1336.3125,1338.01125,1970.0337500000012,42.82788785578271,250.0,47.82738761665105,1028.01,371,2,()
yj_m,,False,1789176897890,0.00038922794432046825,2.415824401836778e-05,2.4158244018367783e-05,477262774.12065893,29622309.30828803,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,8550,534.375,536.07375,1715.3387500000013,106.46607650180174,250.0,52.645296980749606,1028.01,372,2,()
yj_m,,False,1789176897997,0.00029222778344380467,3.463171542464309e-05,3.463171542464309e-05,358323302.9298897,42464650.38623692,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2016,126.0,127.69875,1287.8562499999998,152.62296634578792,250.0,52.645296980749606,1028.01,372,2,()
yj_m,,False,1789176898104,0.00020513509135072278,3.4765432382208654e-05,3.4765432382208654e-05,251532152.8069235,42628611.188758776,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2174,135.875,137.57375,904.0362499999999,153.21226082526,250.0,52.645296980749606,1028.01,372,2,()
yj_m,,False,1789176898210,0.00011781265262967921,2.475343188308288e-05,2.475343188308288e-05,144459292.4044005,30352115.622510422,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,1894,118.375,120.07375,519.2037499999999,109.0890865471313,250.0,52.645296980749606,1028.01,372,2,()
yj_m,,False,1789176898316,1.595039475719401e-05,2.381911248417513e-06,2.3819112484175124e-06,59308360.81795927,8856661.788498165,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,1920,120.0,121.69875,213.16125,31.831887977113453,250.0,47.82738761665105,1028.01,372,2,()
yj_m,,False,1789176898424,4.597883610983746e-06,6.19040220450752e-07,6.19040220450752e-07,51454556.45628966,6927630.768166006,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,8245,515.3125,517.01125,184.93375,24.898722772212633,250.0,43.04217381424828,1028.01,372,2,()
yj_m,,False,1789176898532,2.7063953035862853e-06,5.376821960896219e-07,5.376821960896219e-07,91697391.57668592,18217610.27049852,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,20455,1278.4375,1280.13625,329.57124999999974,65.47624186059781,250.0,38.231174960409206,1028.01,372,3,()
yj_m,,False,1789176898640,6.032037240030604e-06,1.150993843635492e-06,1.150993843635492e-06,204375938.7519213,38997678.218825504,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,734.5512499999998,140.16225910774804,250.0,38.231174960409206,1028.01,372,3,()
yj_m,,False,1789176898746,9.186359099189456e-06,1.2891813581453024e-06,1.2891813581453024e-06,311249863.0064117,43679712.14499436,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1118.6687499999998,156.9900417421038,250.0,38.231174960409206,1028.01,372,3,()
yj_m,,False,1789176898852,1.2342364391102939e-05,1.0962177011171833e-06,1.0962177011171833e-06,418180824.89775056,37141767.00625952,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1502.9912500000003,133.49189512358976,250.0,38.231174960409206,1028.01,372,3,()
yj_m,,False,1789176898959,4.671298958738192e-05,1.7523040395070185e-06,1.7523040395070183e-06,522761418.8023671,19609897.67422737,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1878.8662500000005,70.48028714603464,250.0,43.04217381424828,1028.01,373,3,()
